,precision,recall,f1-score,support
ART,0.9392244593586876,0.8556385869565217,0.895485247067188,2944.0
BLA,0.8479913137893594,0.8697104677060133,0.8587135788894997,1796.0
EBO,0.9689067201604814,0.9401459854014599,0.9543097061002717,4110.0
LYT,0.9052369077306733,0.922021844043688,0.9135522838807097,3937.0
NGB,0.6457943925233645,0.9244147157190635,0.7603851444291609,1495.0
NGS,0.9626414101552223,0.8289533303126416,0.8908094948265368,4414.0
PLM,0.8236641221374046,0.9431818181818182,0.8793806030969845,1144.0
PMO,0.9222936763129689,0.9566425792106726,0.9391541609822647,1799.0
accuracy,0.8972688201857757,0.8972688201857757,0.8972688201857757,0.8972688201857757
macro avg,0.8769691252710203,0.9050886659414848,0.886473777409077,21639.0
weighted avg,0.908093415322922,0.8972688201857757,0.8993846774526452,21639.0
